tegn	link	antall_forekomster_train	antall_forekomster_val
°	https://util.unicode.org/UnicodeJsps/character.jsp?a=00B0	1	0
·	https://util.unicode.org/UnicodeJsps/character.jsp?a=00B7	7	0
»	https://util.unicode.org/UnicodeJsps/character.jsp?a=00BB	34	69
Á	https://util.unicode.org/UnicodeJsps/character.jsp?a=00C1	330	84
Ä	https://util.unicode.org/UnicodeJsps/character.jsp?a=00C4	11	2
Å	https://util.unicode.org/UnicodeJsps/character.jsp?a=00C5	34	3
Æ	https://util.unicode.org/UnicodeJsps/character.jsp?a=00C6	3	0
Ï	https://util.unicode.org/UnicodeJsps/character.jsp?a=00CF	2	0
Ð	https://util.unicode.org/UnicodeJsps/character.jsp?a=00D0	43	6
Ö	https://util.unicode.org/UnicodeJsps/character.jsp?a=00D6	6	0
Ø	https://util.unicode.org/UnicodeJsps/character.jsp?a=00D8	5	5
á	https://util.unicode.org/UnicodeJsps/character.jsp?a=00E1	4648	2185
â	https://util.unicode.org/UnicodeJsps/character.jsp?a=00E2	193	203
ä	https://util.unicode.org/UnicodeJsps/character.jsp?a=00E4	481	104
å	https://util.unicode.org/UnicodeJsps/character.jsp?a=00E5	422	109
æ	https://util.unicode.org/UnicodeJsps/character.jsp?a=00E6	98	81
é	https://util.unicode.org/UnicodeJsps/character.jsp?a=00E9	5	1
ï	https://util.unicode.org/UnicodeJsps/character.jsp?a=00EF	174	35
ð	https://util.unicode.org/UnicodeJsps/character.jsp?a=00F0	3	0
ô	https://util.unicode.org/UnicodeJsps/character.jsp?a=00F4	0	1
õ	https://util.unicode.org/UnicodeJsps/character.jsp?a=00F5	9	0
ö	https://util.unicode.org/UnicodeJsps/character.jsp?a=00F6	60	16
ø	https://util.unicode.org/UnicodeJsps/character.jsp?a=00F8	138	49
û	https://util.unicode.org/UnicodeJsps/character.jsp?a=00FB	1	0
Č	https://util.unicode.org/UnicodeJsps/character.jsp?a=010C	28	20
č	https://util.unicode.org/UnicodeJsps/character.jsp?a=010D	636	382
Đ	https://util.unicode.org/UnicodeJsps/character.jsp?a=0110	21	0
đ	https://util.unicode.org/UnicodeJsps/character.jsp?a=0111	799	446
Ŋ	https://util.unicode.org/UnicodeJsps/character.jsp?a=014A	8	0
ŋ	https://util.unicode.org/UnicodeJsps/character.jsp?a=014B	238	108
Š	https://util.unicode.org/UnicodeJsps/character.jsp?a=0160	31	1
š	https://util.unicode.org/UnicodeJsps/character.jsp?a=0161	1118	562
ŧ	https://util.unicode.org/UnicodeJsps/character.jsp?a=0167	49	16
Ž	https://util.unicode.org/UnicodeJsps/character.jsp?a=017D	1	0
ž	https://util.unicode.org/UnicodeJsps/character.jsp?a=017E	283	144
Ɖ	https://util.unicode.org/UnicodeJsps/character.jsp?a=0189	0	2
ǥ	https://util.unicode.org/UnicodeJsps/character.jsp?a=01E5	0	4
ǯ	https://util.unicode.org/UnicodeJsps/character.jsp?a=01EF	26	0
ʒ	https://util.unicode.org/UnicodeJsps/character.jsp?a=0292	1	0
ʼ	https://util.unicode.org/UnicodeJsps/character.jsp?a=02BC	0	4
–	https://util.unicode.org/UnicodeJsps/character.jsp?a=2013	343	52
—	https://util.unicode.org/UnicodeJsps/character.jsp?a=2014	21	1
’	https://util.unicode.org/UnicodeJsps/character.jsp?a=2019	1	1
†	https://util.unicode.org/UnicodeJsps/character.jsp?a=2020	3	0
€	https://util.unicode.org/UnicodeJsps/character.jsp?a=20AC	1	0
√	https://util.unicode.org/UnicodeJsps/character.jsp?a=221A	4	0
